Bug ID,Severity,Priority,Status,Type,Module,Requirement(s),Test Case(s),TC in Catalogue?,Defect Class,Release Blocking,Title
BUG-011,Critical,P0,Open,Access provisioning / onboarding,Enterprise Onboarding / Users & Roles,"REQ-SETUP-001, IAM",TC-ENT-004; TC-ENT-005; TC-ENT-MOD-admin; TC-ENT-MOD-employee,N; N; N; N,Enterprise Defect,YES,"A user created in Payroll (with a role assigned) is **not granted the Payroll module** at the enterprise level — after login + password change + business selection, the Enterprise Module Launcher shows **""No modules found""**, so the user can never reach Payroll"
BUG-004,High,P2,Open,Validation ↔ seed-data inconsistency (functional defect),TAX,"REQ-TAX-001, REQ-TAX-003 (rate versions / dated rate changes), PRD §1 (""data-driven … no hard-coded rates"")",TC-TAX-004; TC-TAX-005,Y; Y,Catalogue Defect,YES,`PUT /statutory-items/{id}/config` rejects the seeded PAYE bands — config is un-editable/un-saveable as-is
BUG-005,High,P1,Open,Functional defect (frontend HTTP method),TAX,"REQ-TAX-001, REQ-TAX-003 (configure statutory items / dated rate versions), PRD §1 (data-driven config)",TC-TAX-005,Y,Catalogue Defect,YES,Statutory item config save uses `POST /statutory-items/{id}/config` but the route only accepts **PUT** → HTTP 405 → no statutory config change persists via the UI
BUG-012,Major,P1,Open,IAM / data integrity (silent-accept),Users & Roles / Auth,"IAM, REQ-AUTH-001",TC-URB-005; TC-ENT-PW-manager; TC-ENT-PW-reports,N; N; N,IAM Defect,YES,"`POST /users` accepts a `password` (and `password_confirmation`) but **silently ignores it** — the new user cannot log in with it (`/login` → ""Invalid password""), so an admin cannot provision a working credential at creation time"
BUG-002,Medium,P2,Open — needs disposition by PRD/config owner,Documentation ↔ Implementation discrepancy,TAX,REQ-TAX-002,TC-TAX-002,Y,Catalogue Defect,no,Tier 1 (SSNIT) employer contribution rate differs between PRD (13%) and live config (8%)
BUG-003,Medium,P2,Open — needs disposition by PRD owner,Documentation ↔ Implementation discrepancy,Tax / Reliefs,REQ-RELF-004,TC-RELF-005,Y,Catalogue Defect,no,Auto SSF relief is computed from Tier 1 + Tier 2 + **Tier 3** EE; PRD §11 says Tier 1 + Tier 2
BUG-006,Medium,P3,Open — needs confirmation,Business-logic / scoping (population resolver) — NEEDS CONFIRMATION,PG,"REQ-PG-001, REQ-PG-002",TC-PG-005; TC-PG-006,Y; Y,Catalogue Defect,no,"A Regular pay run linked to a pay group that has **no members** populated all active-salary employees, rather than the group's (empty) membership"
BUG-007,Medium,P3,Open — needs confirmation,Workflow / state-machine — NEEDS CONFIRMATION (may be by-design),LIFE,"REQ-LIFE-001, REQ-LIFE-008",TC-LIFE-008,Y,Catalogue Defect,no,"Once a pay run reaches **Approved**, `cancel`, `reject`, and `return-to-previous` all return **422** — the only forward action is Mark-as-Paid, leaving no way to abort an erroneously-approved (unpaid) run"
BUG-009,Medium,P3,Open,Security robustness / error handling,SEC,REQ-SEC-003 (session validation),TC-SEC-005,Y,Catalogue Defect,no,**Any** auth failure — tampered/invalid token **AND a missing token entirely** — causes **HTTP 500** (unhandled error) rather than **401 Unauthorized**
BUG-001,Low,P3,Open,Data hygiene / API serialization — NOT a calculation defect,TAX,"REQ-TAX-002, REQ-PAYE-008",TC-TAX-001; TC-PAYE-008,Y; Y,Catalogue Defect,no,PAYE statutory-item bands 3 & 4 return `min_income == max_income` (zero-width brackets) in the config API
BUG-008,Low,P4,Open,API correctness / misleading response (low),BANK,REQ-BANK-002,TC-BANK-002; TC-BANK-003,Y; Y,Catalogue Defect,no,`PUT /banks/{id}` on a system (seeded) bank returns **200 OK** while silently NOT applying the change
BUG-010,Low,P4,Open,API consistency / validation,Employees (EMP),"REQ-EMP-008, REQ-EMP-010",TC-EMP-019n,N,Exploratory Defect,no,"`POST/PUT /employees` validates `payment_method` against Title-Case labels (""Cash""/""Bank Transfer""/""Mobile Money"") but the API **returns** snake_case (`cash`/`bank_transfer`/`mobile_money`) → round-trip update fails"
