Test Case ID,Module,Requirement,Reclassification,Reason,Latest Evidence
TC-ALRT-004,Payroll,REQ-ALRT-003,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),protected-pay HARD-mode rule not configurable: protected-pay-rules API contract not exposed (only soft-mode breaches present) — external dep
TC-ALRT-009,Payroll,REQ-ALRT-009,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),junior_employee_threshold requires overtime entry: overtime API contract not exposed — external dependency
TC-ALRT-010,Payroll,REQ-ALRT-010,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),pension_threshold requires pension-cap (counting-items) config not exposed — external dependency
TC-ALRT-011,Payroll,REQ-ALRT-011,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — Missing API Contract: benefit/deduction_threshold_breach not raisable — catalog alert_thresholds not on the benefit/deduction cont
TC-AUTH-003,Authentication,REQ-AUTH-001,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),[browser] [browser] phone '0200720509' → rejected/stuck (https://sbxkedebah-v2.npontu.com/clients/sign-in)
TC-AUTH-004,Authentication,REQ-AUTH-001,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-AUTH-006,Authentication,REQ-AUTH-002,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-AUTH-007,Authentication,REQ-AUTH-003,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — Verify-only (§25 documented gap) — assert documented preview/not-saved behaviour via UI
TC-AUTH-008,Authentication,REQ-AUTH-004,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-AUTH-009,Authentication,REQ-AUTH-004,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-AUTH-014,Authentication,REQ-AUTH-008,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-AUTH-015,Authentication,REQ-AUTH-008,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-AUTH-016,Authentication,REQ-AUTH-009,STILL BLOCKED,Missing automation — case not implemented in registry (requires automation dev),BLOCKED — Pending implementation — admin-reachable; not yet ported into the registry
TC-AUTH-017,Authentication,REQ-AUTH-010,STILL BLOCKED,"No Payroll module entitlement (BUG-011, Critical product defect)","BLOCKED — Credentials: verifying ""UI hides button but API still enforces"" requires a restricted (non-admin) session to attempt the denied ca"
TC-AUTH-018,Authentication,REQ-AUTH-011,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-AUTH-019,Authentication,REQ-AUTH-011,STILL BLOCKED,Credentials validated but per-role/self-service needs Payroll module access (BUG-011) — reason corrected from Missing-Credentials,BLOCKED — Needs Manager/Staff credentials (cross-role / self-service not testable as Admin)
TC-BANK-003,Payroll,REQ-BANK-002,STILL BLOCKED,Missing API Contract — re-probed live 2026-06-30: endpoints absent (200 SPA-HTML / 405),BLOCKED — Browser-only: branch sort-code capture / picker is a client-rendered UI flow; no API contract to assert the field-capture behaviou
TC-BANK-014,Payroll,REQ-BANK-010,STILL BLOCKED,Browser execution pending (page needs module access or spec not yet built),BLOCKED — UI-only — needs browser-driven (Playwright page) test
